id,SalePrice
2658,141228.99993934482
2718,183845.01646768674
2414,208373.18647053465
1989,115118.00830318034
625,191526.0670584552
333,64442.69676448405
1327,104496.3862955235
858,141657.22741271928
95,178654.09693891183
1568,177527.4993320331
2482,151131.5376523398
1364,130026.24156610295
2584,156024.8592362255
818,286282.48440766707
2673,176035.92533624172
2089,128219.16420394182
1297,147109.75425225496
790,114944.2416643165
2616,225002.4374600649
720,207214.0243439637
222,139549.6133473143
557,129962.611277394
1148,189993.7802579552
2766,170135.32364160195
534,196242.0056835413
1452,110498.89106368273
630,124820.17998236418
2648,126478.4584610872
125,146118.6164626889
1904,32622.021464683115
1670,105478.40154516697
756,77394.08868016675
717,259526.36689223722
1032,175038.3331597671
852,219377.49616705626
1731,187867.37673135102
2639,133329.2119010836
2071,71634.70700379834
1267,97830.50552238896
1851,200375.22022713348
567,140404.16890962794
2439,210319.8135780245
1898,159785.03557986394
647,173477.11365752295
2256,225799.20416408405
979,82319.02932835743
1444,230607.83136832714
2485,125718.95693580806
157,114004.45963598788
88,123968.41183670238
2003,103990.335947752
186,211395.20422769338
1425,256069.70987756178
2695,120582.97152326629
738,101412.63983690739
395,162150.79988365993
1353,173809.27950371802
1878,161864.85709817335
390,187371.56338692456
1456,242346.68959875032
1103,347341.76659530774
1387,118044.26145358011
2070,163618.7271043323
1199,193530.64871134982
2479,173052.50446648523
501,312827.1533362344
2362,91488.90677228197
1718,207546.09186801314
2188,56580.253886606544
1483,158518.85137366503
2557,57727.982224196196
437,331260.3953046128
2224,221254.556694448
1628,175832.3224138394
397,135569.21532715857
587,216448.15895268694
971,161801.56814637408
2611,167869.44766998664
1887,77178.05380563065
2399,350915.848961737
2148,212071.18802396208
304,124548.57639850304
1997,133757.5482905954
2817,107302.53182660043
1431,194770.37852223963
427,315754.45286275074
263,116157.97145877033
598,192465.99780582264
2895,260993.99431515485
687,154425.0543232225
1822,135688.19714174047
2191,106707.45234936476
179,132701.21338405088
1009,206851.4413646683
2010,111715.94444241375
1991,140471.54204394668
1411,170310.48463166878
1721,229814.47795895115
1144,193491.0663846545
593,227292.91087897494
575,300654.1958898194
1249,193531.26399295777
1604,127958.01915326342
1064,449227.3208120167
1923,167920.01219888777
1988,97173.63462154567
2325,182158.7064661458
114,205207.19413022697
2700,196445.73810109124
217,162692.69664272666
343,212167.3513695188
386,235874.84318743646
2005,101022.39764055982
2908,140656.96058838442
1814,254570.9005697593
2446,495468.38666409254
208,136342.29143805057
1679,102812.11393119767
822,319543.2728370838
6,193551.4369658865
1781,394116.32037112117
2397,284523.31924444437
2340,295563.48288859427
1618,171412.54397214577
2843,133440.8428830281
1061,354639.84384871647
2786,114113.58725837246
1935,132809.3199355267
1341,111953.29577518255
521,279631.22271672636
2136,123734.23303444684
996,207662.64289743826
227,143994.5304927081
135,180696.61648664623
1167,166943.04627995566
294,242824.5554440245
1776,206867.19737466052
540,189630.72904429585
1717,203896.7322417684
2303,123239.48207486048
116,202406.67978578433
127,121936.94115555286
1371,132566.66322237253
1014,186161.703662768
1507,85051.43271755427
702,152489.12160685658
750,140340.08152524382
261,153847.36567047983
1559,43773.10934096202
577,227102.61992160603
2812,203356.41630718857
2080,164913.67090535536
1368,128268.06066484004
2376,124371.74329273775
659,94204.81777973846
1235,133456.39704808593
332,48931.94740615785
1917,153204.01233258843
2094,243349.56441748515
1460,280077.3503129035
1471,225178.14065597206
1509,121002.14171838388
1922,138013.29388864338
433,453268.8661620468
460,253207.83565415442
1116,265970.2862473503
1137,193526.5750148818
53,159753.03436778486
2354,268918.13926781714
1475,202585.13647654653
1761,513210.679893475
842,148755.26555655897
2739,179675.50473796204
2509,146454.0276969634
1007,208281.057801418
2610,185578.72550735995
1952,59641.15601703897
2719,195094.5321125239
2921,63905.44337859005
1966,137829.75513022766
292,126612.54205831885
1204,217350.44879142568
1829,245455.31610409915
2419,185889.77726276964
391,164027.0296973735
798,119613.62800286338
481,202760.0575908646
193,217552.4779932052
555,109951.75751399994
899,54487.15796431899
2357,189209.14750787616
328,114039.18817870691
1356,123628.5157705918
1154,103377.81653974578
1730,170967.53588980436
2249,144839.79895794764
1119,280588.85275163874
2856,134002.31599975377
1394,141180.8850399144
2587,108024.72904582322
61,295352.8266701512
2661,204053.84296614677
2711,127867.49409487098
1147,190415.07953839377
757,129784.75365806744
2623,63750.65984722972
2378,134248.99560587108
1413,153554.363820374
1722,215326.69223326445
1112,213215.3797486797
1623,212104.69175219163
1201,196591.62008605152
1513,105227.61961770058
957,406964.27140011266
1171,271565.96852844954
1145,204069.25238285586
2726,258800.9917043969
703,161792.54173325375
760,74163.85039189085
1964,134643.41841445118
2512,180062.47517649084
159,173677.4404353127
1281,191154.7573971264
468,179516.33777055517
290,108682.82634815574
665,95532.42169998586
1463,264460.4958756305
1792,222910.04927152395
923,151840.5016926527
500,290525.77012625337
1408,194556.46387422457
331,34104.7242625989
170,136818.45653591305
2192,81289.622656703
2571,323917.5272955932
2314,185946.57454660535
2647,76796.29326296225
422,399011.41402929276
2457,353928.4060753919
1838,187239.28071608767
2805,251747.6168235764
1645,170309.7989799194
1711,287865.98193113506
2825,247112.90631664172
322,296176.09159788117
